GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sprint_6,ru.yandex,Cat,12,0,0,0,5,0,3,0,3,0
Sprint_6,ru.yandex,Main,18,0,0,0,5,0,2,0,2,0
Sprint_6,ru.yandex,Feline,15,0,0,0,5,0,5,0,5,0
Sprint_6,ru.yandex,Lion,52,0,4,0,14,0,7,0,5,0
Sprint_6,ru.yandex,Animal,27,0,4,0,7,0,5,0,3,0
Sprint_6,com.example,Feline,15,0,0,0,5,0,5,0,5,0
Sprint_6,com.example,Lion,52,0,4,0,14,0,7,0,5,0
Sprint_6,com.example,Main,18,0,0,0,5,0,2,0,2,0
Sprint_6,com.example,Cat,12,0,0,0,5,0,3,0,3,0
Sprint_6,com.example,Animal,27,0,4,0,7,0,5,0,3,0
